ID,commune,no_mut_nvlle_cmne,date_entree_ch,no_mut_ancienne_cmne,new_no_commune,new_commune
889,Thurnen,3920,2020-01-01,NA,889,Thurnen
939,Steffisburg,3921,2020-01-01,NA,939,Steffisburg
981,Niederbipp,3922,2020-01-01,NA,981,Niederbipp
1123,Altishofen,3923,2020-01-01,NA,1123,Altishofen
2117,Villaz,3924,2020-01-01,NA,2117,Villaz
2237,Prez,3925,2020-01-01,NA,2237,Prez
3901,Chur,3926,2020-01-01,3942,3901,Chur
4095,Brugg,3927,2020-01-01,NA,4095,Brugg
3785,La Punt Chamues-ch,3930,2020-10-01,NA,3785,La Punt Chamues-ch
5138,Cugnasco-Gerra,3932,2020-10-18,NA,5138,Cugnasco-Gerra
5112,Lavertezzo,3932,2020-10-18,NA,5112,Lavertezzo
5399,Verzasca,3932,2020-10-18,NA,5399,Verzasca
1030,Hitzkirch,3933,2021-01-01,NA,1030,Hitzkirch
1151,Willisau,3934,2021-01-01,NA,1151,Willisau
1214,Seedorf (UR),3935,2021-01-01,NA,1214,Seedorf (UR)
2044,Surpierre,3936,2021-01-01,NA,2044,Surpierre
2238,Bois-d'Amont,3937,2021-01-01,NA,2238,Bois-d'Amont
2306,Tafers,3938,2021-01-01,NA,2306,Tafers
2430,Welschenrohr-Gänsbrunnen,3939,2021-01-01,NA,2430,Welschenrohr-Gänsbrunnen
2499,Stüsslingen,3940,2021-01-01,NA,2499,Stüsslingen
3715,Muntogna da Schons,3941,2021-01-01,NA,3715,Muntogna da Schons
3901,Chur,3942,2021-01-01,NA,3901,Chur
5422,Aubonne,3943,2021-01-01,NA,5422,Aubonne
6037,Val de Bagnes,3944,2021-01-01,NA,6037,Val de Bagnes
6136,Martigny,3945,2021-01-01,NA,6136,Martigny
6254,Noble-Contrée,3946,2021-01-01,NA,6254,Noble-Contrée
6458,Neuchâtel,3947,2021-01-01,NA,6458,Neuchâtel
6436,Le Locle,3948,2021-01-01,NA,6436,Le Locle
329,Langenthal,3949,2021-01-01,NA,329,Langenthal
409,Hindelbank,3950,2021-01-01,NA,409,Hindelbank
879,Riggisberg,3951,2021-01-01,NA,879,Riggisberg
5713,Crans (VD),3952,2021-01-01,NA,5713,Crans (VD)
3871,Klosters,3953,2021-01-01,NA,3871,Klosters
5239,Tresa,3954,2021-04-18,NA,5239,Tresa
5656,Hautemorges,3955,2021-07-01,NA,5656,Hautemorges
5511,Assens,3956,2021-07-01,NA,5511,Assens
2275,Murten,3957,2022-01-01,NA,2275,Murten
4185,Böztal,3958,2022-01-01,NA,4185,Böztal
4324,Zurzach,3959,2022-01-01,NA,4324,Zurzach
5805,Oron,3960,2022-01-01,NA,5805,Oron
5892,Blonay - Saint-Légier,3961,2022-01-01,NA,5892,Blonay - Saint-Légier
5240,Val Mara,3962,2022-04-10,NA,5240,Val Mara
3112,Schwende-Rüte,3963,2022-05-01,NA,3112,Schwende-Rüte
